Genesis	ᎼᏏ ᎢᎬᏱᏱ ᎤᏬᏪᎳᏅᎯ
God made the two great lights: the greater light to rule the day, and the lesser light to rule the night. He also made the stars.	ᎤᏁᎳᏅᎯᏃ ᏔᎵ ᏤᏆ ᎢᎦ ᎠᎾᏘᏍᏗᏍᎩ ᏚᏬᏢᏁᎢ, ᎤᏛᏂᏗ ᎢᎦ ᎠᏘᏍᏗᏍᎩ ᎢᎦ ᏗᏁᎶᏙᏗ, ᎠᏲᎳᏂᏃ ᎢᎦ ᎠᏘᏍᏗᏍᎩ ᏒᏃᏱ ᏗᏁᎶᏙᏗ; ᎠᎴ ᏃᏈᏏ ᏚᏬᏢᏁᎢ.
God set them in the expanse of sky to give light to the earth,	ᎾᏍᎩᏃ ᎤᏁᎳᏅᎯ ᎦᎸᎶᎢ ᎦᎸᎳᏗ ᏚᏪᎧᏁᎢ, ᎢᎦ ᎤᎾᏘᏍᏙᏗᏱ ᎡᎶᎯ,
and to rule over the day and over the night, and to divide the light from the darkness. God saw that it was good.	ᎠᎴ ᎾᏍᎩ ᎢᎦ ᎠᎴ ᏒᏃᏱ ᏗᏁᎶᏙᏗ, ᎠᎴ ᎾᏍᎩ ᎢᎦᎦᏛᎢ ᎠᎴ ᎤᎵᏏᎩ ᏗᎾᎦᎴᏅᏗᏍᎩ. ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎾᏍᎩ ᎣᏏᏳ ᎨᏒᎢ.
There was evening and there was morning, a fourth day.	ᎤᏒᏃ ᎠᎴ ᏑᎾᎴᎢ ᏅᎩᏁ ᎢᎦ ᎨᏎᎢ.
God said, "Let the waters swarm with swarms of living creatures, and let birds fly above the earth in the open expanse of sky."	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎠᎹ ᏫᏗᎦᎾᏄᎪᏩ ᎤᏂᏣᏘ ᏗᏅᏃᏛ ᎠᎾᎵᏖᎸᎲᏍᎩ, ᎠᎴ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ ᎦᏙᎯ ᎦᎸᎳᏗᏢ ᎠᏂᏃᎯᎵᏙᎮᏍᏗ.
God created the large sea creatures, and every living creature that moves, with which the waters swarmed, after their kind, and every winged bird after its kind. God saw that it was good.	ᎤᏁᎳᏅᎯᏃ ᏚᏬᏢᏁ ᏣᏁᏆ ᏓᏉ, ᎠᎴ ᎾᏂᎥ ᎠᎾᎵᏖᎸᎲᏍᎩ ᏗᏅᏃᏛ, ᎠᎹ ᎾᏍᎩ ᏚᎾᏄᎪᏫᏎᎢ ᎤᏂᏣᏘ ᏧᎾᏓᎴᏅᏛ, ᎠᎴ ᎾᏂᎥ ᏧᎾᏓᎴᏅᏛ ᏗᏃᏯᏗ ᎠᏂᏃᎯᎵᏙᎯ. ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎾᏍᎩ ᎣᏏᏳ ᎨᏒᎢ.
God blessed them, saying, "Be fruitful, and multiply, and fill the waters in the seas, and let birds multiply on the earth."	ᎤᏁᎳᏅᎯᏃ ᎣᏍᏛ ᏚᏁᏤᎴᎢ, ᎯᎠ ᏄᏪᏎᎢ; ᎢᏥᏁᏉᏣᏖᏍᏗ, ᎠᎴ ᎢᏥᎪᏙᎯ, ᎠᎴ ᎠᎺᏉᎯ ᎢᏥᎧᎵᏣ; ᎠᏂᏃᎯᎵᏙᎯᏃ ᏩᏂᏁᏉᎩ ᎡᎶᎯ.
There was evening and there was morning, a fifth day.	ᎤᏒᏃ ᎠᎴ ᏑᎾᎴ ᎯᏍᎩᏁ ᎢᎦ ᎨᏎᎢ.
God said, "Let the earth produce living creatures after their kind, livestock, creeping things, and animals of the earth after their kind;" and it was so.	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎦᏓ ᏫᏗᎦᎾᏄᎪᏩ ᏗᏅᏃᏛ ᏧᎾᏓᎴᏅᏛ, ᎦᎾᏝᎢ, ᎠᎴ ᎠᎾᏓᎾᏏᏂᏙᎯ, ᎠᎴ ᎡᎶᎯ ᎠᏁᎯ ᏧᎾᏓᎴᏅᏛ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ;
God made the animals of the earth after their kind, and the livestock after their kind, and everything that creeps on the ground after its kind. God saw that it was good.	ᎤᏁᎳᏅᎯᏃ ᏚᏬᏢᏁ ᏗᏅᏃᏛ ᎡᎶᎯ ᎠᏁᎯ ᏧᎾᏓᎴᏅᏛ, ᎠᎴ ᎦᎾᏝᎢ ᏧᎾᏓᎴᏅᏛ, ᎠᎴ ᏂᎦᏛ ᎦᏙᎯ ᎠᎾᏓᎾᏏᏂᏙᎯ ᏧᎾᏓᎴᏅᏛ. ᎤᏁᎳᏅᎯᏃ ᎤᏙᎴᎰᏎ ᎾᏍᎩ ᎣᏏᏳ ᎨᏒᎢ.
God said, "Let us make man in our image, after our likeness: and let them have dominion over the fish of the sea, and over the birds of the sky, and over the livestock, and over all the earth, and over every creeping thing that creeps on the earth."	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᏴᏫ ᎡᏙᏢᎾ ᎠᏴ ᎾᏍᎩᏯᎢ, ᎠᏴ ᏂᎦᏍᏛᎢ, ᎾᏍᎩᏃ ᎤᏂᎬᏫᏳᎯ ᎨᏎᏍᏗ ᎠᏣᏗ ᎠᎺᏉᎯ ᎠᏁᎲᎢ, ᎠᎴ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ ᎠᏁᎲᎢ, ᎠᎴ ᎦᎾᏝᎢ ᎠᏁᎲᎢ, ᎠᎴ ᎡᎶᎯ ᏂᎬᎾᏛᎢ, ᎠᎴ ᎠᏁᎲᎢ ᏂᎦᎥ ᎠᎾᏓᎾᏏᏂᏙᎯ, ᎦᏙᎯ ᏣᎾᏓᎾᏏᏂᏙᎭ.
God created man in his own image. In God's image he created him; male and female he created them.	ᎰᏩᏃ ᎤᏁᎳᏅᎯ ᏴᏫ ᎤᏬᏢᏁᎢ ᎤᏩᏒ ᏄᏍᏛᎢ, ᎤᏁᎳᏅᎯ ᏄᏍᏛ ᎾᏍᎩᏯ ᎤᏬᏢᏁᎢ, ᎠᏍᎦᏯ ᎠᎴ ᎠᎨᏴ ᏚᏬᏢᏁᎢ.
God blessed them. God said to them, "Be fruitful, multiply, fill the earth, and subdue it. Have dominion over the fish of the sea, over the birds of the sky, and over every living thing that moves on the earth."	ᎤᏁᎳᏅᎯᏃ ᎣᏍᏛ ᏚᏁᏤᎴᎢ, ᎠᎴ ᎤᏁᎳᏅᎯ ᎯᎠ ᏂᏚᏪᏎᎴᎢ; ᎢᏍᏗᏁᏉᏣᏖᏍᏗ, ᎠᎴ ᎢᏍᏗᎪᏙᎯ, ᎠᎴ ᎦᏙᎯ ᎢᏍᏗᎧᎵᏋ, ᎠᎴ ᎾᏍᎩ ᎢᏍᏓᏤᎵᎦ ᏂᏍᏛᎦ, ᎠᎴ ᎢᏍᏗᎬᏫᏳᎯ ᎨᏎᏍᏗ ᎠᏣᏗ ᎠᏁᎲᎢ, ᎠᎴ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ ᎠᏁᎲᎢ, ᎠᎴ ᏂᎦᎥ ᎬᏃᏛ ᎡᎶᎯ ᏣᎵᏖᎸᎲᏍᎦ.
God said, "Behold, I have given you every herb yielding seed, which is on the surface of all the earth, and every tree, which bears fruit yielding seed. It will be your food.	ᎤᏁᎳᏅᎯᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎬᏂᏳᏉ ᏂᎦᎥ ᎦᏄᎸᎯ ᎠᎦᏔᏛᏍᎩ ᎾᏍᎩ ᏂᎬᎾᏛ ᎦᏙᎯ ᏣᏛᏍᎦ, ᎠᎴ ᏂᎦᎥ ᏕᏡᎬ ᏗᏓᏛᏍᎩ ᎤᎦᏔ ᏥᏓᎦᏔᏛᏍᎦ, ᏕᏍᏛᏲᎯᏎᎸ; ᎾᏍᎩ ᏂᎯ ᎢᏍᏓᎵᏍᏓᏴᏗ ᎨᏎᏍᏗ;
To every animal of the earth, and to every bird of the sky, and to everything that creeps on the earth, in which there is life, I have given every green herb for food;" and it was so.	ᎾᏍᏉᏃ ᏂᎦᎥ ᎡᎿᎥ ᎦᏙᎯ, ᎠᎴ ᎾᏂᎥ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ, ᎠᎴ ᎾᏂᎥ ᏗᏅᏃᏛ ᎦᏙᎯ ᎠᎾᏓᎾᏏᏂᏙᎯ, ᏂᎦᎥ ᎢᏤ ᎦᏄᎸᏒ ᎤᎾᎵᏍᏓᏴᏗ ᏕᎦᏥᏲᎯᏎᎸ. ᎾᏍᎩᏃ ᏄᎵᏍᏔᏁᎢ.
God saw everything that he had made, and, behold, it was very good. There was evening and there was morning, a sixth day.	ᎤᏁᎳᏅᎯᏃ ᎤᎪᎮ ᏂᎦᎥ ᎤᏬᏢᏅᎢ, ᎠᎴ ᎬᏂᏳᏉ Ꮀ ᎣᏏᏳ ᎨᏎᎢ. ᎤᏒᏃ ᎠᎴ ᏑᎾᎴᎢ ᏑᏓᎵᏁ ᎢᎦ ᎨᏎᎢ.
Chapter 2	ᎠᏯᏙᎸᎢ 2
The heavens and the earth were finished, and all their vast array.	ᎾᏍᎩᏃ ᎦᎸᎶᎢ ᎠᎴ ᎡᎶᎯ ᎤᎵᏍᏆᏕ ᏕᎪᏢᏍᎬᎢ ᎠᎴ ᎾᏍᎩ ᏂᎦᎥ ᏄᏂᏧᏈᏍᏛᎢ.
On the seventh day God finished his work which he had made; and he rested on the seventh day from all his work which he had made.	ᎦᎵᏉᎩᏁᏃ ᎢᎦ ᎤᏁᎳᏅᎯ ᎤᏍᏆᏕ ᏚᎸᏫᏍᏓᏁᎸᎢ ᎾᏍᎩ ᎤᏬᏢᏅᎢ. ᎤᏯᏪᏐᎴᏃ ᎦᎵᏉᎩᏁ ᎢᎦ ᎤᏲᎯᏍᏔᏁ ᏂᎦᎥ ᏚᎸᏫᏍᏓᏁᎸᎢ ᎾᏍᎩ ᎤᏬᏢᏅᎢ.
God blessed the seventh day, and made it holy, because he rested in it from all his work which he had created and made.	ᎤᏁᎳᏅᎯᏃ ᎣᏍᏛ ᎤᏁᏤᎴ ᎦᎵᏉᎩᏁ ᎢᎦ ᎠᎴ ᎤᎸᏉᏔᏁᎢ, ᎾᎯᏳᏰᏃ ᎤᏯᏪᏐᎴ ᎤᏲᎯᏍᏔᏁ ᏂᎦᎥ ᏚᎸᏫᏍᏓᏁᎸᎢ ᎾᏍᎩ ᎤᏁᎳᏅᎯ ᎤᏁᎳᏅᎢ ᎠᎴ ᎤᏬᏢᏅᎢ.
This is the history of the generations of the heavens and of the earth when they were created, in the day that Yahweh God made the earth and the heavens.	ᎯᎠ ᎾᏍᎩ ᏄᏍᏗ ᎢᎬᏱᏱ ᏗᏓᎴᏂᏍᎬ ᎦᎸᎶᎢ ᎠᎴ ᎡᎶᎯ ᎨᎪᏢᏅᎢ, ᎾᎯᏳ ᎢᎦ ᏱᎰᏩ ᎤᏁᎳᏅᎯ ᏥᏚᏬᏢᏁ ᎡᎶᎯ ᎠᎴ ᎦᎸᎶᎢ,
No plant of the field was yet in the earth, and no herb of the field had yet sprung up; for Yahweh God had not caused it to rain on the earth. There was not a man to till the ground,	ᎠᎴ ᏂᎦᎥ ᎦᏄᎸᏒ ᏠᎨᏏ ᎡᎯ, ᎠᏏ ᎾᎭᏛᎾ ᏥᎨᏎᎢ, ᎠᎴ ᏂᎦᎥ ᎠᏛᏍᎩ ᏠᎨᏏ ᎡᎯ, ᎠᏏ ᎾᎵᏰᎲᏍᎬᎾᏉ ᏥᎨᏎᎢ; ᏱᎰᏩᏰᏃ ᎤᏁᎳᏅᎯ ᎠᏏ ᎾᎦᏃᏗᏍᎬᎾ ᎨᏎ ᎡᎶᎯ, ᎠᎴ ᎾᏍᏉ ᎥᏝ ᏰᎮ ᏴᏫ ᏗᎦᎶᎩᏍᎩ.
but a mist went up from the earth, and watered the whole surface of the ground.	ᎤᎬᎭᏓᏍᎩᏂ ᎦᏙᎯ ᎠᎵᏌᎳᏗᏍᎨᎢ, ᎾᏍᎩᏃ ᏂᎬᎾᏛᎢ ᎦᏚᎢ ᎦᏙᎯ ᏕᎠᏖᎡᎯᏍᏗᏍᎨᎢ.
Yahweh God formed man from the dust of the ground, and breathed into his nostrils the breath of life; and man became a living soul.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᏴᏫ ᎦᏓ ᎤᏬᏢᏔᏁᎢ, ᏗᎪᏴᏐᎵᏃ ᎤᏦᏔᎮ ᎬᏂᏛ ᎬᏬᎳᏕᏍᏗ, ᏴᏫᏃ ᎬᏃᏛ ᏄᎵᏍᏔᏁᎢ.
Yahweh God planted a garden eastward, in Eden, and there he put the man whom he had formed.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎠᏫᏒᏗᏱ ᎤᏫᏒᏁᎢ ᎢᏗᏂ ᏚᏙᎥᎢ ᏅᏙ ᏗᎧᎸᎬ ᎢᏗᏢ; ᎾᎿᏃ ᎤᏪᎧᏁ ᏴᏫ ᎤᏬᏢᏅᎯ.
Out of the ground Yahweh God made every tree to grow that is pleasant to the sight, and good for food; the tree of life also in the middle of the garden, and the tree of the knowledge of good and evil.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎦᏙᎯ ᏚᎾᏄᎪᏫᏎ ᏂᏚᏓᎴᏒ ᏕᏡᎬ ᏧᏬᏚᎯ ᏗᎧᏃᏗᏱ ᎠᎴ ᎣᏍᏛ ᏗᎵᏍᏓᏴᏗ; ᎠᎴ ᎾᏍᏉ ᎬᏂᏛ ᎠᏓᏁᎯ ᏡᎬᎢ ᎠᏰᎵ ᎠᏫᏒᏗᏱ [ᎤᎾᏄᎪᏫᏎᎢ,] ᎠᎴ ᏡᎬᎢ ᎠᎦᏙᎥᎯᏍᏗ ᎣᏍᏛ ᎨᏒᎢ ᎠᎴ ᎤᏲ ᎨᏒᎢ.
A river went out of Eden to water the garden; and from there it was parted, and became four heads.	ᎢᏗᏂᏃ ᎨᏰᎢ, ᎾᏍᎩᏃ ᎠᏫᏒᏗᏱ ᏓᏖᎡᎯᏍᏗᏍᎨᎢ; ᎾᎿᏃ ᏫᏚᎶᎦᎴᎢ, ᏅᎩ ᏕᎨᏴ ᏂᎦᎵᏍᏗᏍᎨᎢ.
The name of the first is Pishon: this is the one which flows through the whole land of Havilah, where there is gold;	ᎢᎬᏱᏱ ᎨᏴᎢ ᏆᏌᏂ ᏚᏙᎥ; ᎾᏍᎩ ᎭᏩᎳ ᏂᎬᎢ ᏂᏓᏚᏫᏍᏗᎭ, ᎾᎿᏂ ᎠᏕᎸ ᏓᎶᏂᎨ ᎤᎳ;
and the gold of that land is good. There is aromatic resin and the onyx stone.	ᎠᏕᎸᏃ ᏓᎶᏂᎨ ᎾᎿ ᎤᎸ ᎣᏏᏳ; ᎾᎿ ᎡᎭ ᏕᎵᏯᎻ, ᎠᎴ ᏅᏯ ᎣᏂᎩ ᏧᏙᎢᏛ.
The name of the second river is Gihon: the same river that flows through the whole land of Cush.	ᏔᎵᏁᏃ ᎨᏴᎢ ᎦᎭᏂ ᏚᏙᎥ, ᎾᏍᎩ ᎢᏗᎣᏈ ᏂᎬᎢ ᏥᏓᏚᏫᏍᏗᎭ,
The name of the third river is Hiddekel: this is the one which flows in front of Assyria. The fourth river is the Euphrates.	ᏦᎢᏁᏃ ᎨᏴᎢ ᎯᏗᎩᎵ ᏚᏙᎥ, ᎾᏍᎩ ᎠᏏᎵᏱ ᏅᏙ ᏗᎧᎸᎬ ᎢᏗᏢ ᏥᏭᏪᏯᏗᏍᏗ. ᏅᎩᏁᏃ ᎨᏴᎢ ᎾᏍᎩ ᏳᏇᏗ.
Yahweh God took the man, and put him into the garden of Eden to dress it and to keep it.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎤᏯᏅᎮ ᏴᏫ ᎢᏗᏂ ᎠᏫᏒᏗᏱ ᎤᏪᎧᏁᎢ, ᎣᏍᏛ ᎢᏳᏩᏁᏗᏱ ᎠᎴ ᎤᎦᏘᏗᏍᏗᏱ.
Yahweh God commanded the man, saying, "Of every tree of the garden you may freely eat;	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎤᏁᏤᎴ ᏴᏫ ᎯᎠ ᏄᏪᏎᎢ; ᏂᎦᏛ ᏕᏡᎬ ᎠᏂ ᎠᏫᏒᏗᏱ ᏥᏕᏡᎦ ᏣᏁᎳᎩ ᏣᎵᏍᏓᏴᏗ ᎨᏎᏍᏗ;
but of the tree of the knowledge of good and evil, you shall not eat of it; for in the day that you eat of it you will surely die."	ᎾᏍᎩᏂ ᎤᏓᏔᏅᎯ ᏥᏡᎦ ᎠᎦᏙᎥᎯᏍᏗ ᎣᏍᏛ ᎨᏒᎢ ᎠᎴ ᎤᏲ ᎨᏒᎢ, ᎥᏝ ᏣᎩᏍᏗ ᏱᎨᏎᏍᏗ, ᎾᎯᏳᏰᏃ ᎢᎦ ᎯᎬᎭ ᎤᏙᎯᏳᏒ ᏣᏲᎱᎯᏍᏗ ᎨᏎᏍᏗ.
Yahweh God said, "It is not good that the man should be alone; I will make him a helper suitable for him."	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎯᎠ ᏄᏪᏎᎢ; ᎥᏝ ᏲᎯ ᎠᏍᎦᏯ ᎤᏩᏒᏉ ᏥᎩ; ᏓᏥᏲᏢᎾᏁᎵ ᎤᏍᏕᎸᎯᏙᎯ ᎤᏩᏒ ᏄᏍᏛᎢ.
Out of the ground Yahweh God formed every animal of the field, and every bird of the sky, and brought them to the man to see what he would call them. Whatever the man called every living creature, that was its name.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎦᏓ ᏚᏬᏢᏔᏁ ᏂᎦᎥ ᎡᎿᎢ, ᎠᎴ ᏂᎦᎥ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ, ᎾᏍᎩᏃ ᎠᏓᏫ ᏚᏖᏃᎮᎴᎢ ᎤᏙᎴᎰᎯᏍᏗᏱ ᎤᏚᎵᏍᎨ ᏄᏍᏛ ᏕᎪᏍᎬᎢ; ᏄᏍᏛᏃ ᎠᏓᏫ ᏕᎤᏬᎥᎢ ᏂᎦᎥ ᎬᏃᏛ, ᎾᏍᎩ ᏄᏍᏕ ᏚᏙᎡᎢ.
The man gave names to all livestock, and to the birds of the sky, and to every animal of the field; but for man there was not found a helper suitable for him.	ᎠᏓᏫᏃ ᏚᏬᎡ ᏂᎦᏛ ᎦᎾᏝᎢ, ᎠᎴ ᎦᎸᎶ ᎠᏂᏃᎯᎵᏙᎯ, ᎠᎴ ᏂᎦᏛ ᎢᎾᎨ ᎡᎿᎢ; ᎠᏓᏫᏍᎩᏂ ᎾᏲᎪ ᎤᏍᏕᎸᎯᏙᎯ ᎥᏝ ᏰᎮ ᎤᏩᏒ ᏄᏍᏛᎢ.
Yahweh God caused a deep sleep to fall on the man, and he slept; and he took one of his ribs, and closed up the flesh in its place.	ᏱᎰᏩᏃ ᎤᏁᎳᏅᎯ ᎠᏍᏓᏯ ᎤᎸᏗᏱ ᏄᏩᏁᎴ ᎠᏓᏫ; ᎾᏍᎩᏃ ᎤᎸᏁᎢ; ᎿᏉᏃ ᏌᏉ ᎦᏄᎳᏥ ᎤᎸᎡᎴᎢ, ᎾᏍᎩᏃ ᎤᎸᎡᎸᎢ ᎤᏇᏓᎸ ᎤᏍᏚᏔᏁᎢ.
He made the rib, which Yahweh God had taken from the man, into a woman, and brought her to the man.	ᎾᏍᎩᏃ ᎦᏄᎳᏥ, ᎠᏍᎦᏯ ᎠᎸᎡᎸᎯ, ᏱᎰᏩ ᎤᏁᎳᏅᎯ ᎠᎨᏴ ᎤᏬᏢᏔᏁᎢ, ᎠᎴ ᎾᏍᎩ ᎠᏍᎦᏯ ᎤᏘᏃᎮᎴᎢ,
The man said, "This is now bone of my bones, and flesh of my flesh. She will be called 'woman,' because she was taken out of Man."	ᎠᏓᏫᏃ ᎯᎠ ᏄᏪᏎᎢ; ᎿᏉ ᎯᎠ ᎪᎳ ᏗᎩᎪᎶᎯ ᎤᏕᏅᎯ, ᎠᎴ ᎭᏫᏯ ᎠᎩᏫᏲᎯ ᎤᏕᏅᎯ; ᎾᏍᎩ ᎠᎨᏴ ᏕᎤᏙᎡᏍᏗ, ᎠᏍᎦᏲᎯᏰᏃ ᏅᏓᏳᎶᏒᎯ ᎾᏍᎩ.
Therefore a man will leave his father and his mother, and will join with his wife, and they will be one flesh.	ᎾᏍᎩᏃ ᎢᏳᏍᏗ ᎠᏍᎦᏯ ᏕᎬᏕᎨᏍᏗ ᎤᏙᏓ ᎠᎴ ᎤᏥ, ᎤᏓᎵᎢᏃ ᎠᏜᏫᏍᏗᏍᎨᏍᏗ, ᎾᏍᎩᏃ ᏌᏉᏉ ᎤᏂᏇᏓᎸᎢ ᎨᏎᏍᏗ.
