Gospel of Matthew	ᎣᏍᏛ ᎧᏃᎮᏛ ᎹᏚ ᎤᏬᏪᎳᏅᎯ
Zerubbabel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.	ᏥᎳᏇᎵᏃ ᎠᏆᏯᏗ ᎤᏕᏁᎴᎢ, ᎠᏆᏯᏗᏃ ᎢᎳᏯᎩᎻ ᎤᏕᏁᎴᎢ; ᎢᎳᏯᎩᎻᏃ ᎡᏐ ᎤᏕᏁᎴᎢ;
Azor became the father of Sadoc. Sadoc became the father of Achim. Achim became the father of Eliud.	ᎡᏐᏃ ᏎᏙᎩ ᎤᏕᏁᎴᎢ; ᏎᏙᎩᏃ ᎡᎩᎻ ᎤᏕᏁᎴᎢ; ᎡᎩᎻᏃ ᎢᎳᏯᏗ ᎤᏕᏁᎴᎢ;
Eliud became the father of Eleazar. Eleazar became the father of Matthan. Matthan became the father of Jacob.	ᎢᎳᏯᏗᏃ ᎢᎵᎡᏌ ᎤᏕᏁᎴᎢ; ᎢᎵᎡᏌᏃ ᎹᏓᏂ ᎤᏕᏁᎴᎢ; ᎹᏓᏂᏃ ᏤᎦᏈ ᎤᏕᏁᎴᎢ;
Jacob became the father of Joseph, the husband of Mary, from whom was born Jesus, who is called Christ.	ᏤᎦᏈᏃ ᏦᏩ ᎤᏕᏁᎴᎢ, ᎾᏍᎩ ᎺᎵ ᎤᏰᎯ ᎾᏍᎩ ᏧᎾᏄᎪᏫᏎ ᏥᏌ ᎦᎶᏁᏛ ᏣᏃᎭᎰᎢ.
So all the generations from Abraham to David are fourteen generations; from David to the exile to Babylon fourteen generations; and from the carrying away to Babylon to the Christ, fourteen generations.	ᎾᏍᎩᏃ ᏂᎦᏛ ᏄᎾᏓᏁᏟᏴᏒ ᎡᏆᎭᎻ ᏤᎮ ᎾᎯᏳ ᏅᏓᎬᏩᏓᎴᏅᏛ ᏕᏫᏃ ᏤᎮ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ; ᏕᏫᏃ ᏤᎮ ᎾᎯᏳ ᏅᎵᎬᏩᏓᎴᏅᏛ ᏓᏗᎶᏂᏃ ᏥᏫᏗᎨᎦᏘᏅᏍᏔᏁ ᎾᎯᏳ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ; ᏓᏗᎶᏂᏃ ᎾᎯᏳ ᏥᏫᏗᎨᎦᏘᏅᏍᏔᏁ ᎤᏓᏳᏓᎴᏅᏛ ᏥᏌᏃ ᏧᏕᏁ ᎾᎯᏳ ᏅᏛᏍᏘ ᏂᎦᏚ ᏄᎾᏓᏁᏟᏴᏎᎢ.
Now the birth of Jesus Christ was like this; for after his mother, Mary, was engaged to Joseph, before they came together, she was found pregnant by the Holy Spirit.	ᎾᏍᎩᏃ ᎯᎠ ᏄᎵᏍᏔᏂᏙᎴ ᎤᏕᏅ ᏥᏌ ᎦᎶᏁᏛ. ᎾᏍᎩ ᎺᎵ ᏥᏌ ᎤᏥ ᏦᏩ ᎤᏓᏴᏍᏗ, ᎠᏏᏉ ᏂᏓᎾᏤᎬᎾ ᎨᏎᎢ, ᎤᏁᎵᏤ ᎦᎸᏉᏗᏳ ᎠᏓᏅᏙ ᎤᏓᏅᏖᎸᎯ.
Joseph, her husband, being a righteous man, and not willing to make her a public example, intended to put her away secretly.	ᏦᏩ ᎾᏍᎩ Ꮎ ᏧᎾᏨᏍᏗ ᎤᏓᏅᏘᏳ ᎨᏒ ᎢᏳᏍᏗ, ᎠᎴ ᏄᏚᎵᏍᎬᎾ ᎨᏒ ᎢᏳᏍᏗ ᎬᏂᎨᏒ ᎤᏕᎰᎯᏍᏙᏗᏱ, ᎤᏕᎵᏛᏉ ᎢᏴᏛ ᏮᏓᏥᏯᎧᏂ, ᎤᏪᎵᏎᎢ.
But when he thought about these things, behold, an angel of the Lord appeared to him in a dream, saying, "Joseph, son of David, don't be afraid to take to yourself Mary, your wife, for that which is conceived in her is of the Holy Spirit.	ᎠᏎᏃ ᎠᏏᏉ ᎯᎠ ᎾᏍᎩ ᏄᏍᏕᎠᏓᏅᏖᏍᎨᎢ, ᎬᏂᏳᏉ ᏗᎧᎿᏩᏗᏙᎯ ᏱᎰᏩ ᎤᏅᏏᏛ ᎬᏂᎨᏒ ᏄᏛᏁᎴ ᎠᏍᎩᏓᏍᎬᎢ, ᎯᎠ ᏂᎦᏪᏍᎨᎢ; ᏦᏩ, ᏕᏫ ᎤᏪᏥ, ᏞᏍᏗ ᏣᏍᎦᎸ ᎯᏯᏅᏗᏱ ᎺᎵ ᏣᏓᏴᏍᏗ, ᎾᏍᎩᏰᏃ Ꮎ ᏥᎦᏁᎵ ᎦᎸᏉᏗᏳ ᎠᏓᏅᏙ ᎤᏓᏅᏖᎸᎯ;
She shall bring forth a son. You shall call his name Jesus, for it is he who shall save his people from their sins."	ᎠᎴ ᏓᎦᎾᏄᎪᏫᏏ ᎠᏧᏣ, ᎾᏍᎩᏃ ᏥᏌ ᏕᎯᏲᎥᎭ, ᏧᏤᎵᏰᏃ ᏴᏫ ᏙᏛᏍᏕᎸᎯ ᏙᏓᎫᏓᎴᏏ ᎤᏂᏍᎦᏅᏨᎢ.
Now all this has happened, that it might be fulfilled which was spoken by the Lord through the prophet, saying,	ᎾᏍᎩᏃ ᎯᎠ ᏂᎦᏗᏳ ᏄᎵᏍᏔᏂᏙᎴ ᎤᏙᎯᏳᏗᏱ ᎠᏰᎸᏒᎢ ᎯᎠ ᏥᏄᏪᏎ ᏱᎰᏩ ᎠᏙᎴᎰᏍᎩ ᎠᎬᏗᏍᎬᎢ;
"Behold, the virgin shall be with child, and shall bring forth a son. They shall call his name Immanuel;" which is, being interpreted, "God with us."	ᎬᏂᏳᏉ ᎠᏛ ᎾᏥᏰᎲᎾ ᎦᏁᎵᏛ ᎨᏎᏍᏗ, ᎠᎴ ᏓᎦᎾᏄᎪᏫᏏ ᎠᏧᏣ, ᎾᏍᎩᏃ ᎢᎹᏄᎡᎵ ᎠᏃᏎᎮᏍᏗ, ᎾᏍᎩ ᎠᏁᏢᏔᏅᎯ ᎨᏒ ᎯᎠ ᏄᏍᏗ ᎦᏛᎦ, ᎤᏁᎳᏅᎯ ᎢᎨᎳᏗᏙᎭ.
Joseph arose from his sleep, and did as the angel of the Lord commanded him, and took his wife to himself;	ᏦᏩᏃ ᎤᏰᏨ ᎤᎸᏅᎢ ᏗᎧᎿᏩᏗᏙᎯ ᏱᎰᏩ ᏅᏓᏳᏅᏏᏛ ᏄᏪᏎᎸ ᏄᏛᏁᎴᎢ, ᎤᏯᏅᎨᏉ ᎤᏓᏴᏍᏗ.
and didn't know her sexually until she had brought forth her firstborn son. He named him Jesus.	ᎠᎴ ᎥᏝ ᏳᎦᏙᎥᏎᎢ ᎬᏂ ᎤᎾᏄᎪᏫᏒ ᎢᎬᏱ ᎡᎯ ᎤᏪᏥ ᎠᏧᏣ, ᏥᏌᏃ ᏑᏬᎡᎢ.
Chapter 2	ᎠᏯᏙᎸᎢ 2
Now when Jesus was born in Bethlehem of Judea in the days of King Herod, behold, wise men from the east came to Jerusalem, saying,	ᏥᏌᏃ ᎤᏕᏅ ᎦᏚᏱ ᎦᏚᎲ ᏧᏗᏱ, ᎾᎯᏳ ᏤᎮ ᎡᎶᏛ ᎤᎬᏫᏳᎯ, ᎬᏂᏳᏉ ᎤᏂᎷᏤ ᏥᎷᏏᎵᎻ ᎠᏂᎦᏔᎿᎢ ᏅᏙ ᏗᎧᎸᎬ ᎢᏗᏢ ᏧᏂᎶᏎᎢ,
"Where is he who is born King of the Jews? For we saw his star in the east, and have come to worship him."	ᎯᎠ ᏄᏂᏪᏎᎢ; ᎭᏢ Ꮎ ᏧᏕᏅ ᎤᎬᏫᏳᎯ ᎠᏂᏧᏏ ᎤᎾᏤᎵᎦ, ᎣᎩᎪᎲᏰᏃ ᎤᏤᎵ ᏃᏈᏏ ᏗᎧᎸᎬ ᎢᏗᏢ, ᎠᎴ ᎣᏣᏓᏙᎵᏍᏓᏁᎵᎦ.
When King Herod heard it, he was troubled, and all Jerusalem with him.	ᎡᎶᏛᏃ ᎤᎬᏫᏳᎯ ᎤᏛᎦᏅ ᎾᏍᎩ, ᎤᏪᎵᎯᏍᏗ ᎤᏓᏅᏓᏕᎢ, ᎠᎴ ᏂᎦᏛ ᏥᎷᏏᎵᎻ ᎠᏁᎯ.
Gathering together all the chief priests and scribes of the people, he asked them where the Christ would be born.	ᏚᎳᏫᏛᏃ ᏂᎦᏛ ᏄᏂᎬᏫᏳᏒ ᎠᏥᎸ ᎠᏁᎶᎯ, ᎠᎴ ᏴᏫ ᏗᏃᏪᎳᏁᎯ, ᏚᏛᏛᏁᎢ, ᎾᎿ ᎤᏕᏗ ᎨᏒ ᎦᎶᏁᏛ.
They said to him, "In Bethlehem of Judea, for this is written through the prophet,	ᎯᎠᏃ ᏂᎬᏩᏪᏎᎴᎢ; ᏧᏗᏱ ᎦᏚᏱ ᎦᏚᎲᎢ; ᎯᎠᏰᏃ ᏄᏩᏅ ᎤᏬᏪᎳ ᎠᏙᎴᎰᏍᎩ;
'You Bethlehem, land of Judah, are in no way least among the princes of Judah: for out of you shall come forth a governor, who shall shepherd my people, Israel.'"	ᎠᎴ ᏂᎯ ᎦᏚᏱ ᎦᏚᎲ ᏧᏗᏱ, ᎥᏝᏍᎩᏂ ᏣᏍᏗᎧᏂ ᏱᎩ, ᏥᎶᏓᏑᏯ ᏄᏂᎬᏫᏳᏒ ᏧᏗᏱ, ᏂᎯᏰᏃ ᏓᏣᏄᎪᏥ ᏗᏆᏤᎵ ᏴᏫ ᎢᏏᎵ-ᏗᎧᏁᏤᎯ.
Then Herod secretly called the wise men, and learned from them exactly what time the star appeared.	ᎿᏉᏃ ᎡᎶᏛ ᎤᏕᎵᏛ ᏫᏚᏯᏅᎲ ᎾᏍᎩ ᎠᏂᎦᏔᎿᎢ, ᎣᏍᏛ ᏚᏛᏘᏌᏁ ᎢᏳᏉ ᎾᏍᎩ ᏃᏈᏏ ᎤᎾᏄᎪᏨᎢ.
He sent them to Bethlehem, and said, "Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him."	ᎠᎴ ᏚᏅᏎ ᎦᏚᏱ, ᎯᎠ ᏄᏪᏎᎢ; ᎢᏤᎾ ᎣᏍᏛ ᏪᏥᏲᎦ ᎾᏍᎩ ᎤᏍᏗ ᎠᏲᎵ, ᎢᏳᏃ ᎡᏥᏩᏛᎲᎭ, ᎢᏍᎩᏃᏁᎵᎸᎭ, ᎠᏴᏃ ᎾᏍᏉ ᏫᏥᎷᏨᎭ, ᎠᎴ ᏥᏯᏓᏙᎵᏍᏓᏁᎸᎭ.
They, having heard the king, went their way; and behold, the star, which they saw in the east, went before them, until it came and stood over where the young child was.	ᎤᎾᏛᎦᏃᏁᎸᏃ ᎤᎬᏫᏳᎯ ᎤᎾᏂᎩᏎᎢ, ᎬᏂᏳᏉᏃ ᏃᏈᏏ, ᎾᏍᎩ ᎤᏂᎪᎲᎯ ᏗᎧᎸᎬ ᎢᏗᏢ, ᎢᎬᏱ ᎤᏁᏅᎡᎴᎢ, ᎬᏂ ᏭᎷᏥᎸ ᎠᎴ ᎤᎴᏫᏍᏔᏅ ᎦᎸᎳᏗᏢ ᎾᎿ ᎠᏥᎵ ᎡᎲᎢ.
When they saw the star, they rejoiced with exceedingly great joy.	ᎤᏂᎪᎲᏃ ᎾᏍᎩ ᏃᏈᏏ, ᎤᎶᏔᏅᎯ ᎤᎾᎵᎮᎵᏤᎢ.
They came into the house and saw the young child with Mary, his mother, and they fell down and worshiped him. Opening their treasures, they offered to him gifts: gold, frankincense, and myrrh.	ᎠᏓᏁᎸᏃ ᎤᏂᏴᎸ ᎤᏂᎪᎮ ᎠᏲᏝ ᎠᎴ ᎤᏥ ᎺᎵ, ᎠᎴ ᎡᎳᏗ ᏚᎾᏓᏅᏁᎢ, ᎤᎾᏓᏙᎵᏍᏓᏁᎴᎢ, ᎠᎴ ᏧᎬᏩᎶᏗ ᎤᏂᎳᏅᏛ ᏚᏂᏍᏚᎢᏒ ᎤᏂᏁᎸᏁ ᏅᎾᎵᏍᎪᎸᏔᏅᎯ, ᎠᏕᎸ-ᏓᎶᏂᏛ, ᎠᎴ ᎤᎦᎾᏍᏛ ᎦᏩᏒᎩ ᎠᏜ, ᎠᎴ ᎻᎳ.
Being warned in a dream that they shouldn't return to Herod, they went back to their own country another way.	ᎠᎾᏍᎩᏓᏍᎬᏃ ᎤᏁᎳᏅᎯ ᏚᏁᏤᎸ ᎡᎶᏛᏱ ᏭᏂᎶᎯᏍᏗᏱ ᏂᎨᏒᎾ, ᎤᎾᏂᎩᏒ ᎤᏣᏘᏂᏉ ᎢᏗᏢ ᏭᏂᎶᏎ ᎢᎤᏁᏅ ᎤᎾᏤᎵᎪᎯ.
Now when they had departed, behold, an angel of the Lord appeared to Joseph in a dream, saying, "Arise and take the young child and his mother, and flee into Egypt, and stay there until I tell you, for Herod will seek the young child to destroy him."	ᎤᎾᏂᎩᏒᏃ ᎬᏂᏳᏉ ᏗᎧᎿᏩᏗᏙᎯ ᎤᏅᏏᏛ ᏱᎰᏩ ᎬᏂᎨᏒ ᏄᏛᏁᎴ ᏦᏩ ᎠᏍᎩᏓᏍᎬᎢ, ᎯᎠ ᏄᏪᏎᎴᎢ; ᏔᎴᎲᎦ, ᎠᎴ ᏔᏘᏄᎦ ᎠᏲᎵ ᎠᎴ ᎤᏥ ᎠᎴ ᎭᎵᏘ, ᎢᏥᏈ ᏫᎶᎯ, ᎾᎿᏃ ᏪᎮᏍᏗ ᎬᏂ ᏫᎬᏁᏤᎸᎭ, ᎡᎶᏛᏰᏃ ᎠᏎ ᏛᏲᎵ ᎤᏍᏗ ᎠᏲᎵ ᎤᎯᏍᏗᏱ.
He arose and took the young child and his mother by night, and departed into Egypt,	ᎿᏉᏃ ᏚᎴᏅ ᎤᏘᏅᏎ ᎠᏲᎵ ᎠᎴ ᎤᏥ ᏒᏃᏱ, ᎠᎴ ᎢᏥᏛᏱ ᏭᎶᏎᎢ.
and was there until the death of Herod; that it might be fulfilled which was spoken by the Lord through the prophet, saying, "Out of Egypt I called my son."	ᎠᎴ ᎾᎿ ᏪᎮ ᎬᏂ ᎡᎶᏛ ᎤᏲᎱᏒ; ᎤᏙᎯᏳᏁ ᎤᏁᎳᏅᎯ ᎤᏁᏨᎢ, ᎠᏙᎴᎰᏍᎩ ᏧᏮᏔᏁᎢ, ᎯᎠ ᏥᏄᏪᏎᎢ; ᎢᏥᏈᏱ ᏫᏥᏯᏅᎲ ᎠᏇᏥ.
Then Herod, when he saw that he was mocked by the wise men, was exceedingly angry, and sent out, and killed all the male children who were in Bethlehem and in all the surrounding countryside, from two years old and under, according to the exact time which he had learned from the wise men.	ᎿᏉᏃ ᎡᎶᏛ ᎤᏙᎴᎰᏒ ᎠᏂᎦᏔᎿᎢ ᎬᏩᎵᏓᏍᏔᏅᎢ, ᎤᏣᏔᏅᎯ ᎤᏔᎳᏬᏎᎢ, ᎠᎴ ᎤᏓᏅᏎ ᏫᏚᏂᎰᏁ ᏂᎦᏛ ᏗᏂᏲᎵ ᎦᏚᏱ ᎠᏁᎯ, ᎠᎴ ᏂᎦᏛ ᏂᎬᎾᏛ ᎾᎿᏂ, ᏔᎵ ᎢᏳᎾᏕᏘᏴᏛ ᏩᏍᏘ, ᎾᎯᏳ ᏅᏓᏳᏓᎴᏅᏛ ᏥᏓᎵᏏᎾᎯᏍᏓᏁᎮ ᏥᏓᏛᏛᎮᎸᎥᏍᎨ ᎠᏂᎦᏔᎿᎢ.
Then that which was spoken by Jeremiah the prophet was fulfilled, saying,	ᎿᏉᏃ ᎤᏙᎯᏳᏁ ᏤᎵᎹᏯ ᎠᏙᎴᎰᏍᎩ ᎤᏁᏨᎯ, ᎠᎴ ᏥᏄᏪᏎᎢ;
"A voice was heard in Ramah, lamentation, weeping and great mourning, Rachel weeping for her children; she wouldn't be comforted, because they are no more."	ᎴᎹᏱ ᎧᏁᎬ ᎤᎾᏛᎦᏅᎩ, ᏓᏂᏴᎬᎢ, ᎠᎴ ᏓᎾᏠᏱᎲᎢ, ᎠᎴ ᎤᏣᏘ ᎤᏁᎷᎬᎢ; ᎴᏥᎵ ᏓᏍᎪᏂᎲ ᏧᏪᏥ, ᎠᎴ ᏄᏚᎵᏍᎬᎾ ᎨᏒ ᎤᏄᏬᎯᏍᏗᏱ, ᏅᏗᎦᎵᏍᏙᏗᏍᎬ ᎾᏁᎲᎾᏉ ᎨᏒᎢ.
But when Herod was dead, behold, an angel of the Lord appeared in a dream to Joseph in Egypt, saying,	ᎿᏉᏃ ᎡᎶᏛ ᎤᏲᎱᏒ, ᎬᏂᏳᏉ ᏗᎧᎿᏩᏗᏙᎯ ᏱᎰᏩ ᎤᏤᎵᎦ ᎬᏂᎨᏒ ᏄᏛᏁᎴ ᏦᏩ ᎠᏍᎩᏓᏍᎬ ᎢᏥᏈᏱ,
"Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child's life are dead."	ᎯᎠ ᏄᏪᏎᎴᎢ; ᏔᎴᎲᎦ ᎠᎴ ᎭᏘᏄᎦ ᎠᏲᎵ ᎠᎴ ᎤᏥ, ᎠᎴ ᎮᎾ ᎢᏏᎵᏱ, ᎿᏉᏰᏃ ᏚᏂᏲᎱᏒ ᎠᏲᎵ ᎬᏅ ᏧᏂᏲᎲᎩ.
He arose and took the young child and his mother, and came into the land of Israel.	ᏚᎴᏅᏃ ᎤᏘᏅᏎ ᎠᏲᎵ ᎠᎴ ᎤᏥ, ᎠᎴ ᎢᏏᎵᏱ ᏭᎷᏤᎢ.
But when he heard that Archelaus was reigning over Judea in the place of his father, Herod, he was afraid to go there. Being warned in a dream, he withdrew into the region of Galilee,	ᎠᏎᏃ ᎤᏛᎦᏅ ᎠᏥᎳ ᎤᎬᏫᏳᎯ ᎨᏒ ᏧᏗᏱ ᎤᏙᏓ ᎡᎶᏛ ᎤᏓᏁᏟᏴᏍᏓᏁᎸᎢ, ᎤᏍᎦᎴ ᎾᎿ ᏭᎶᎯᏍᏗᏱ; ᎠᏎᏃ ᎤᏁᎳᏅᎯ ᎤᏪᏯᏔᏅᎯ ᎨᏒ ᎠᏍᎩᏓᏍᎬᎢ, ᎨᎵᎵ ᏭᎪᎸᏍᏔᏁᎢ;
and came and lived in a city called Nazareth; that it might be fulfilled which was spoken through the prophets: "He will be called a Nazarene."	ᎦᏚᎲᏃ ᎾᏎᎵᏗ ᏧᏙᎢᏛ ᏭᎷᏨ ᎾᎿ ᎡᎮᎢ. ᎾᏍᎩᏃ ᎤᏙᎯᏳᏁ ᎠᎾᏙᎴᎰᏍᎩ ᏧᏂᏁᏤᎢ, ᎾᏎᎵᏗ ᎡᎯ ᎠᎪᏎᎮᏍᏗ, ᏧᎾᏛᏁᎢ.
Chapter 3	ᎠᏯᏙᎸᎢ 3
In those days, John the Baptizer came, preaching in the wilderness of Judea, saying,	ᎾᎯᏳ ᎤᎷᏤ ᏣᏂ ᏗᏓᏬᏍᎩ ᎠᎵᏥᏙᎲᏍᎨ ᎢᎾᎨ ᏧᏗᏱ,
"Repent, for the Kingdom of Heaven is at hand!"	ᎯᎠ ᏂᎦᏪᏍᎨᎢ; ᏗᏥᏁᏟᏴᎾ ᏕᏣᏓᏅᏛᎢ, ᎿᏉᏰᏃ ᎦᎸᎳᏗ ᎡᎯ ᎤᎬᏫᏳᎯ ᎨᏒ ᎡᏍᎦᏂᏳ ᏓᏯᎢ.
For this is he who was spoken of by Isaiah the prophet, saying, "The voice of one crying in the wilderness, make ready the way of the Lord. Make his paths straight."	ᎾᏍᎩ ᎯᎠ Ꮎ ᏥᎧᏁᎢᏍᏗᏍᎨ ᎠᏙᎴᎰᏍᎩ ᎢᏌᏯ, ᎯᎠ ᏥᏂᎦᏪᏍᎨᎢ; ᎤᏪᎷᎦ ᎩᎶ ᎢᎾᎨᎢ, ᎯᎠ ᏂᎦᏪᎭ; ᎣᏍᏛ ᏂᏨᎦ ᏱᎰᏩ ᎤᎶᎯᏍᏗᏱ, ᏚᏅᏅ ᏗᏥᏥᏃᎯᏍᏓ.
Now John himself wore clothing made of camel's hair, with a leather belt around his waist. His food was locusts and wild honey.	ᎾᏍᎩᏃ ᎯᎠ ᏣᏂ ᎤᏄᏪ ᎨᎻᎵ ᎤᏍᏘᏰᏅᎯ, ᎦᏃᏥᏃ ᎤᏓᏠᏍᏕᎢ, ᎤᎵᏍᏓᏴᏗᏃ ᎥᎴ ᎨᏎ ᎢᎾᎨᏃ ᎡᎯ ᏩᏚᎵᏏ.
Then people from Jerusalem, all of Judea, and all the region around the Jordan went out to him.	ᎾᏉᏃ ᏫᎬᏩᎷᏤᎴ ᏥᎷᏏᎵᎻ ᎠᎴ ᏂᎦᏛ ᏧᏗᏱ, ᎠᎴ ᏂᎦᏛ ᎾᏅᎾᏛ ᏦᏓᏂ,
They were baptized by him in the Jordan, confessing their sins.	ᏦᏓᏂᏃ ᏕᎤᏬᎡᎢ, ᎠᏂᏃᎲᏍᎨ ᎤᏂᏍᎦᏅᏨᎢ.
But when he saw many of the Pharisees and Sadducees coming for his baptism, he said to them, "You offspring of vipers, who warned you to flee from the wrath to come?	ᎠᏎᏃ ᏚᎪᎲ ᎤᏂᏣᏘ ᎠᏂᏆᎵᏏ ᎠᎴ ᎠᏂᏌᏚᏏ ᎠᏂᎷᎬ ᏓᏓᏬᏍᎬᎢ, ᎯᎠ ᏂᏚᏪᎭᎴᎢ; Ᏺ! ᎢᎾᏛ ᏧᏁᏥ ᏂᎯ! ᎦᎪ ᎢᏤᏯᏔᏅ ᎡᏣᎵᎡᏗᏱ ᎤᏔᎳᏬᎯᏍᏗ ᏨᏣᎢ?
Therefore bring forth fruit worthy of repentance!	ᎢᏥᎾᏄᎪᏩᏲᎪ ᎠᏙᎴᎰᎯᏍᏙᏗ ᏕᏥᏁᏟᏴᏒ ᏕᏣᏓᏅᏛᎢ;
Don't think to yourselves, 'We have Abraham for our father,' for I tell you that God is able to raise up children to Abraham from these stones.	ᎠᎴ ᏝᏍᏗ ᎯᎠ ᏅᏓᏲᏥᏪᏏ ᎢᏤᎵᏒᎩ ᏙᏗᏣᏓᏅᏛᎢ; ᎡᏆᎭᎻ ᎣᎩᏙᏓ; ᎢᏨᏲᏎᏰᏃ ᎤᏁᎳᏅᎯ ᏰᎵᏉ ᎯᎠ ᏅᏯ ᏱᏕᎬᏓ ᏱᏕᎪᏢᎾ ᎡᏆᎭᎻ ᏧᏪᏥ.
